JOBNAME,CHANGED_JOBNAME,insert_job,box_name,condition
MAAPP_mm_batchjob_oltp22_usfkl21db89cn1,MAAPP_mm_batchjob_oltp22_usfkl21db89cn1,MAAPP_mm_batchjob_oltp22_usfkl21db89cn1 : dmz_MAAPP_mm_batchjob_oltp22_usfkl21db89cn1,,
MAAPP_rebuild_bsa_usfkl21db89cn1,MAAPP_rebuild_bsa_usfkl21db89cn1,MAAPP_rebuild_bsa_usfkl21db89cn1 : dmz_MAAPP_rebuild_bsa_usfkl21db89cn1,,
MAAPP_sforms_batchjob_oltp22_usfkl21db89cn1,MAAPP_sforms_batchjob_oltp22_usfkl21db89cn1,MAAPP_sforms_batchjob_oltp22_usfkl21db89cn1 : dmz_MAAPP_sforms_batchjob_oltp22_usfkl21db89cn1,,
pmcm_cm_from_mina_ref_oltp22_box,pmcm_cm_from_mina_ref_oltp22_box,pmcm_cm_from_mina_ref_oltp22_box : dmz_pmcm_cm_from_mina_ref_oltp22_box,,
pmcm_cm_from_mina_ref_oltp22_box,pmcm_cm_from_mina_ref_oltp22_usfkl21db89cn1,,pmcm_cm_from_mina_ref_oltp22_box : dmz_pmcm_cm_from_mina_ref_oltp22_box,
pmcm_cm_from_mina_ref_oltp22_usfkl21db89cn1,pmcm_cm_from_mina_ref_oltp22_usfkl21db89cn1,pmcm_cm_from_mina_ref_oltp22_usfkl21db89cn1 : dmz_pmcm_cm_from_mina_ref_oltp22_usfkl21db89cn1,,
MA_npt_acpr_update_oltp22_usfkl21db89cn1,MA_npt_acpr_update_oltp22_usfkl21db89cn1,MA_npt_acpr_update_oltp22_usfkl21db89cn1 : dmz_MA_npt_acpr_update_oltp22_usfkl21db89cn1,,
medba_archive_backup_bwchk,medba_archive_backup_bwchk,medba_archive_backup_bwchk : dmz_medba_archive_backup_bwchk,,
medba_full_backup_bwchk,medba_full_backup_bwchk,medba_full_backup_bwchk : dmz_medba_full_backup_bwchk,,
medba_archive_backup_cordysp2,medba_archive_backup_cordysp2,medba_archive_backup_cordysp2 : dmz_medba_archive_backup_cordysp2,,
medba_full_backup_cordysp2,medba_full_backup_cordysp2,medba_full_backup_cordysp2 : dmz_medba_full_backup_cordysp2,,
medba_archive_backup_filprd3,medba_archive_backup_filprd3,medba_archive_backup_filprd3 : dmz_medba_archive_backup_filprd3,,
medba_full_backup_filprd3,medba_full_backup_filprd3,medba_full_backup_filprd3 : dmz_medba_full_backup_filprd3,,
medba_archive_backup_bpmprod,medba_archive_backup_bpmprod,medba_archive_backup_bpmprod : dmz_medba_archive_backup_bpmprod,,
medba_full_backup_bpmprod,medba_full_backup_bpmprod,medba_full_backup_bpmprod : dmz_medba_full_backup_bpmprod,,
medba_archive_backup_idaprd1,medba_archive_backup_idaprd1,medba_archive_backup_idaprd1 : dmz_medba_archive_backup_idaprd1,,
medba_full_backup_idaprd1,medba_full_backup_idaprd1,medba_full_backup_idaprd1 : dmz_medba_full_backup_idaprd1,,
medba_archive_backup_apxprd01,medba_archive_backup_apxprd01,medba_archive_backup_apxprd01 : dmz_medba_archive_backup_apxprd01,,
medba_full_backup_apxprd01,medba_full_backup_apxprd01,medba_full_backup_apxprd01 : dmz_medba_full_backup_apxprd01,,
medba_archive_backup_infoprod,medba_archive_backup_infoprod,medba_archive_backup_infoprod : dmz_medba_archive_backup_infoprod,,
medba_full_backup_infoprod,medba_full_backup_infoprod,medba_full_backup_infoprod : dmz_medba_full_backup_infoprod,,
medba_archive_backup_bwprod11,medba_archive_backup_bwprod11,medba_archive_backup_bwprod11 : dmz_medba_archive_backup_bwprod11,,
medba_full_backup_bwprod11,medba_full_backup_bwprod11,medba_full_backup_bwprod11 : dmz_medba_full_backup_bwprod11,,
medba_archive_backup_bwprod13,medba_archive_backup_bwprod13,medba_archive_backup_bwprod13 : dmz_medba_archive_backup_bwprod13,,
medba_full_backup_bwprod13,medba_full_backup_bwprod13,medba_full_backup_bwprod13 : dmz_medba_full_backup_bwprod13,,
medba_archive_backup_bwstg10,medba_archive_backup_bwstg10,medba_archive_backup_bwstg10 : dmz_medba_archive_backup_bwstg10,,
medba_full_backup_bwstg10,medba_full_backup_bwstg10,medba_full_backup_bwstg10 : dmz_medba_full_backup_bwstg10,,
medba_archive_backup_cogprd12,medba_archive_backup_cogprd12,medba_archive_backup_cogprd12 : dmz_medba_archive_backup_cogprd12,,
medba_full_backup_cogprd12,medba_full_backup_cogprd12,medba_full_backup_cogprd12 : dmz_medba_full_backup_cogprd12,,
medba_archive_backup_bwstr24a,medba_archive_backup_bwstr24a,medba_archive_backup_bwstr24a : dmz_medba_archive_backup_bwstr24a,,
medba_incr_backup_bwstr24a,medba_incr_backup_bwstr24a,medba_incr_backup_bwstr24a : dmz_medba_incr_backup_bwstr24a,,
medba_archive_backup_bwstr24d,medba_archive_backup_bwstr24d,medba_archive_backup_bwstr24d : dmz_medba_archive_backup_bwstr24d,,
medba_incr_backup_bwstr24d,medba_incr_backup_bwstr24d,medba_incr_backup_bwstr24d : dmz_medba_incr_backup_bwstr24d,,
medba_archive_backup_oidprd01,medba_archive_backup_oidprd01,medba_archive_backup_oidprd01 : dmz_medba_archive_backup_oidprd01,,
medba_full_backup_oidprd01,medba_full_backup_oidprd01,medba_full_backup_oidprd01 : dmz_medba_full_backup_oidprd01,,
medba_archive_backup_oidprd02,medba_archive_backup_oidprd02,medba_archive_backup_oidprd02 : dmz_medba_archive_backup_oidprd02,,
medba_full_backup_oidprd02,medba_full_backup_oidprd02,medba_full_backup_oidprd02 : dmz_medba_full_backup_oidprd02,,
mebwd_hotbk_dd_bwprod26,mebwd_hotbk_dd_bwprod26,mebwd_hotbk_dd_bwprod26 : dmz_mebwd_hotbk_dd_bwprod26,,
mebwd_archbk_dd_bwprod26,mebwd_archbk_dd_bwprod26,mebwd_archbk_dd_bwprod26 : dmz_mebwd_archbk_dd_bwprod26,,
medba_gather_stats_bwprod25,medba_gather_stats_bwprod25,medba_gather_stats_bwprod25 : dmz_medba_gather_stats_bwprod25,,
medba_gather_stats_weekend_bwprod25,medba_gather_stats_weekend_bwprod25,medba_gather_stats_weekend_bwprod25 : dmz_medba_gather_stats_weekend_bwprod25,,
mebwd_hotbk_dd_bwprod25,mebwd_hotbk_dd_bwprod25,mebwd_hotbk_dd_bwprod25 : dmz_mebwd_hotbk_dd_bwprod25,,
mebwd_archbk_dd_bwprod25,mebwd_archbk_dd_bwprod25,mebwd_archbk_dd_bwprod25 : dmz_mebwd_archbk_dd_bwprod25,,
medba_archive_backup_coreprod,medba_archive_backup_coreprod,medba_archive_backup_coreprod : dmz_medba_archive_backup_coreprod,,
medba_full_backup_coreprod,medba_full_backup_coreprod,medba_full_backup_coreprod : dmz_medba_full_backup_coreprod,,
medba_archive_backup_esrprod,medba_archive_backup_esrprod,medba_archive_backup_esrprod : dmz_medba_archive_backup_esrprod,,
medba_full_backup_esrprod,medba_full_backup_esrprod,medba_full_backup_esrprod : dmz_medba_full_backup_esrprod,,
mebwd_hotbk_dd_bwprod24,mebwd_hotbk_dd_bwprod24,mebwd_hotbk_dd_bwprod24 : dmz_mebwd_hotbk_dd_bwprod24,,
mebwd_archbk_dd_bwprod24,mebwd_archbk_dd_bwprod24,mebwd_archbk_dd_bwprod24 : dmz_mebwd_archbk_dd_bwprod24,,
mebwd_acct_maint_del_users,mebwd_acct_maint_del_users,mebwd_acct_maint_del_users : dmz_mebwd_acct_maint_del_users,,
mebwd_acct_maint_del_users,mebwd_acct_maint_prep_coreprod,,,s(mebwd_acct_maint_del_users) : dmz_mebwd_acct_maint_del_users
mebwd_acct_maint_prep_coreprod,mebwd_acct_maint_prep_coreprod,mebwd_acct_maint_prep_coreprod : dmz_mebwd_acct_maint_prep_coreprod,,
mebwd_acct_maint_prep_coreprod,mebwd_acct_maint_coreprod,,,s(mebwd_acct_maint_prep_coreprod) : dmz_mebwd_acct_maint_prep_coreprod
mebwd_acct_maint_coreprod,mebwd_acct_maint_coreprod,mebwd_acct_maint_coreprod : dmz_mebwd_acct_maint_coreprod,,
mebwd_acct_maint_coreprod,mebwd_mat_views_refresh_apxprd01,,,s(mebwd_acct_maint_coreprod) : dmz_mebwd_acct_maint_coreprod
medba_archive_backup_bwprod36,medba_archive_backup_bwprod36,medba_archive_backup_bwprod36 : dmz_medba_archive_backup_bwprod36,,
