JOBNAME,DESCRIPTION,MACHINE NAME,COMMAND,JOB TYPE
megldba_d_backup_daily_test,"Initiate NetBackup (DB Tier) - Step 12 testing",GBEXE12DB38CL,"C:\Program Files\VERITAS\NetBackup\bin\bpbackup.exe" -i -w -p XDC_Mercer_FileNet_Policy3 -s Daily_Inc -h gbexe12db38ci1bu -S gbexe21bs01cl,CMD
maiafs_w_Deactivate_bridger_users,"Deactivate bridger users",USFKL21AS365V,/var/opt/powermart/pc8_prod/infa_shared/SrcFiles/BRIDGER_WEEKLY_REPORT/BRIDGER_ETL.sh,CMD
pmdocs_d_uni_start_MDocsPolicyReport_xPlorev1,"pmdocs_d_uni_start_MdocsPolicyReport",usfkl21as85,/opt/apps/DFC/customJobs/MDocsAutosysJobs/DCTM_JOBS/shell_scripts/MDocsPolicyReportJob_xplore.sh,CMD
macwdb_d_pcibatch_load,"PCI BatchJob SYSA2A",usurb31as34v,/data/dataloads/pci/scripts/pciRecurringBatchJob.sh,CMD
pmmacc_r_elk_tst_autosys_usurb31as04_sysa2bv,"test autosys",sysa2bv,ls -al /web/webftp/,CMD
pmdba_d_full_backup_oltp81_usurb21db08vcn1,"RMAN Online Hot Backup for oltp81",usurb21db08vcn1,/opt/oracle/scripts/wrappers/backup_oltp81_full.sh,CMD
mesegtd_d_win_start_process_seg,"execute tasks SEG",gbex11v0100,D\:\Dynamic.Soft\Procesos_SEG\Lanzador_Procesos_SEG.bat,CMD
meidos_d_win_mpmcheck0258_job,"MPM Check 0258",gbbe11v0258,D\:\Applications\PRD\IRL\AutoSysJobs\MPM.Check.cmd,CMD
meidos_d_win_mpmcheck0259_job,"MPM Check 0259",gbbe11v0259,D\:\Applications\PRD\IRL\AutoSysJobs\MPM.Check.cmd,CMD
meidos_d_win_mpmcheck0260_job,"MPM Check 0260",gbbe11v0260,D\:\Applications\PRD\IRL\AutoSysJobs\MPM.Check.cmd,CMD
mesegtd_d_win_start_process_seg_DR,"execute tasks SEG",dr-gbex11v0100,D\:\Dynamic.Soft\Procesos_SEG\Lanzador_Procesos_SEG.bat,CMD
pmmacc_r_tst_autosys_usfkl21as337vcn2,"test autosys",usfkl21as337vcn2,/bin/date,CMD
pmmacc_r_tst_dmzautosys_usfkl11db11cn1,"test autosys",usfkl11db11cn1,C\:\windows\system32\ping 127.0.0.1,CMD
pmmacc_r_tst_dmzautosys_usfkl11db11cn2,"test autosys",usfkl11db11cn2,C\:\windows\system32\ping 127.0.0.1,CMD
marsyn_d_WAS8_5_EXT_rsync-from-PRD-N1-PRF_N1,"Daily rsync from WAS855 Prod Internal Webserver (usfkl21ws84v) to DR Internal Webserver (USDFW22WS24V)",usfkl21ws84v,/opt/apps/scripts/DRScripts/WAS8.5_EXT_rsync-from-prd-N1-prf.sh,CMD
marsyn_d_WAS8_5_EXT_rsync-from-PRD-N2-PRF_N2,"Daily rsync from WAS855 Prod Internal Webserver (usfkl21ws85v) to DR Internal Webserver (USDFW22WS25V)",usfkl21ws85v,/opt/apps/scripts/DRScripts/WAS8.5_EXT_rsync-from-prd-N2-prf.sh,CMD
pacc_tst_autsys_gbbed21as52,"Test AUTOSYS is Set Up Correctly",gbbed21as52,/bin/date,CMD
pmmacc_r_tst_autosys_gbbed21as52,"test autosys",gbbed21as52,/bin/date,CMD
mmbkp_d_ev_emea_bed11bs09_unmount,"Unmount clone",gbbed11bs09.mrshmc.com,c\:\WINDOWS\SysWOW64\windowspowershell\v1.0\powershell.exe c\:\mgti\EVBU-support.ps1 offline,CMD
mmbkp_w_ev_emea_bed11bs09_unmount,"Unmount clone",gbbed11bs09.mrshmc.com,c\:\WINDOWS\SysWOW64\windowspowershell\v1.0\powershell.exe c\:\mgti\EVBU-support.ps1 offline,CMD
mmbkp_d_ev_emea_exe11bs11_unmount,"Unmount clone",gbexe11bs11.mrshmc.com,c\:\WINDOWS\SysWOW64\windowspowershell\v1.0\powershell.exe c\:\mgti\EVBU-support.ps1 offline,CMD
mmbkp_w_ev_emea_exe11bs11_unmount,"Unmount clone",gbexe11bs11.mrshmc.com,c\:\WINDOWS\SysWOW64\windowspowershell\v1.0\powershell.exe c\:\mgti\EVBU-support.ps1 offline,CMD
mmemsg_w_ev_emea_exe_index3_resetarchive,"Reset Archive Bit",gbexe11xv08.mrshmc.com,c\:\windows\system32\attrib -A G\:* /S,CMD
pmmacc_r_tst_autosys_gbexe11xv08.mrshmc.com,"test autosys",gbexe11xv08.mrshmc.com,C\:\windows\system32\ping 127.0.0.1,CMD
mmemsg_w_ev_emea_exe_index4_resetarchive,"Reset Archive Bit",gbexe11xv09.mrshmc.com,c\:\windows\system32\attrib -A J\:* /S,CMD
pmmacc_r_tst_autosys_gbexe11xv09.mrshmc.com,"test autosys",gbexe11xv09.mrshmc.com,C\:\windows\system32\ping 127.0.0.1,CMD
pmmacc_r_tst_autosys_USFKL21AS281V,"test autosys",USFKL21AS281V,/bin/date,CMD
mamsearch_d_Prodsolr_d_sepr_init_node1,"sepr init",USFKL21AS281V,/opt/apps/batch/SolrImporterBatch/bin/solr_batch.sh sepr init 3000,CMD
pmmacc_r_tst_autosys_usdfw21db41vcn1,"test autosys",usdfw21db41vcn1,/bin/date,CMD
pmdba_coll_details_mv_refresh_usdfw21db41vcn1,"ODB Colleague Details Refresh",usdfw21db41vcn1,/var/oracle/admin/oltp132/dba/common/bin/colleague_details_mv_refresh.ksh,CMD
pmmacc_r_tst_autosys_usdfw21db54vcn1,"test autosys",usdfw21db54vcn1,/bin/date,CMD
pmmacc_r_tst_autosys_usdfw21db54vcn21,"test autosys",usdfw21db54vcn1,/bin/date,CMD
pmmacc_r_tst_autosys_usdf21v0468,"test autosys",usdf21v0468,/bin/date,CMD
pmmacc_r_tst_autosys_usdf21v0468_herb,"test autosys",usdf21v0468,ls -al /opt/CA/,CMD
pmmacc_r_tst_autosys_usdfw11as129v,"test autosys window 2012",usdfw11as129v,C\:\windows\system32\ping 127.0.0.1,CMD
mmesm_w_spectrum_mgr_report_MySQL_db,"Performs export of the Spectrum Report Manager MySQL Database",usdfw11as129v,D\:\win32app\Spectrum\NT-Tools\SRE\bin\bash.exe D\:\esmcustom\MySQLDBDump\MySQLDBDump.sh,CMD
pmmacc_r_tst_autosys_gbbe11v0358,"test autosys",gbbe11v0358,C\:\windows\system32\ping 127.0.0.1,CMD
pmadnet_d_win_run_EASdataload,"WorkDay to EAS Load",gbbe11v0358,D\:\WorkDayIntegrationWithEAS\Release\WorkdayEasInterface.exe,CMD
mamm_d_export_basys_usprd1wasshe,"Daily extraction process - can be rerun",usprd1wasshe,/opt/batch/prd/ambest/bin/ExportToBasys.sh,CMD
